Name: 1-Methyltryptophan
InChIKey: ZADWXFSZEAPBJS-JTQLQIEISA-N
Precursor Type: [M+H]+
Precursor Mz: 219.11317
Retention Time: 6.23
Formula: C12H14N2O2
Num Peaks: 2360
35.09272 9
35.16082 7
35.33406 5
35.37153 10
35.40113 6
35.52167 10
35.59562 11
35.64824 7
35.92216 7
35.99086 7
36.00977 8
36.09406 5
36.12846 6
36.18774 6
36.28789 7
36.31497 8
36.44939 7
36.55495 6
36.59132 5
36.70467 9
36.76503 7
36.81343 6
36.91418 6
36.9884 8
37.06816 10
37.09225 14
37.16554 7
37.33312 7
37.38086 5
37.57853 10
37.75079 7
37.88525 5
38.0806 6
38.10358 6
38.19557 5
38.26106 11
38.27698 11
38.29833 10
38.63583 6
38.68176 8
38.71522 17
38.84262 5
38.87501 7
39.20404 7
39.22557 7
39.2471 6
39.269 12
39.29985 10
39.31531 10
39.39617 5
39.43731 7
39.48431 5
39.49867 13
39.71115 7
39.72945 7
39.7982 9
39.84431 6
39.86654 14
39.93203 12
40.05689 12
40.12297 8
40.28199 9
40.33109 8
40.35553 9
40.38203 5
40.4148 6
40.43069 12
40.51318 11
40.57862 17
40.66282 5
40.76869 6
40.82375 8
40.90401 14
40.97012 9
41.14373 6
41.1795 7
41.19402 13
41.25305 6
41.26695 6
41.30826 7
41.42259 9
41.49993 8
41.51776 5
41.54316 8
41.55534 8
41.59337 10
41.63346 5
41.7226 7
41.82902 7
41.85954 6
41.89016 5
41.91241 6
41.95878 8
42.03026 27
42.10362 8
42.14795 18
42.17507 13
42.19659 7
42.45376 5
42.61445 11
42.65541 6
42.69886 8
42.82967 11
42.89153 5
43.02146 65
43.07201 14
43.09755 10
43.14328 5
43.16209 5
43.19867 8
43.23404 16
43.38844 7
43.44486 8
43.47691 10
43.56572 8
43.60257 7
43.63876 9
43.70194 6
43.72467 8
43.74126 6
43.95235 6
44.02847 7
44.10025 10
44.11568 9
44.18499 6
44.21466 10
44.24136 10
44.27182 7
44.45879 9
44.48883 9
44.67292 16
44.82621 5
44.91835 8
45.0378 8
45.21326 8
45.36464 6
45.37259 6
45.41475 6
45.44569 12
45.52608 6
45.58108 9
45.60815 8
45.62815 5
45.66137 8
45.77497 11
45.82505 6
45.85895 7
45.98223 8
46.02834 95
46.06845 9
46.16142 6
46.19529 8
46.22473 5
46.27902 6
46.55901 6
46.59998 6
46.62836 7
46.68481 9
46.71787 9
46.74477 8
46.77222 10
46.81133 8
46.84666 8
46.88993 9
46.90156 7
47.00046 7
47.03087 7
47.05972 9
47.13701 7
47.17968 6
47.19625 5
47.37548 10
47.39697 10
47.42884 6
47.6063 6
47.66676 7
47.6927 9
47.74089 11
47.85137 8
47.90308 10
47.9967 9
48.06141 5
48.09746 11
48.14149 7
48.1892 8
48.26478 10
48.3656 11
48.43619 9
48.45998 5
48.50386 7
48.55251 8
48.57621 9
48.6376 8
48.66761 16
48.81616 11
48.84823 5
48.90678 6
48.97175 7
49.08406 6
49.29498 6
49.32512 5
49.40175 6
49.42981 7
49.44592 8
49.50996 6
49.52678 7
49.55473 6
49.65963 10
49.71573 8
49.74162 10
49.8846 10
50.01234 6
50.02968 14
50.14523 7
50.21922 11
50.27108 10
50.35231 10
50.3889 7
50.44061 9
50.4743 5
50.6291 7
50.95264 7
51.04161 7
51.21569 12
51.33965 9
51.35802 6
51.41092 11
51.46811 12
51.67599 17
51.71964 10
51.85514 8
52.10708 5
52.12365 5
52.23948 10
52.33892 5
52.47785 8
52.65104 6
52.73867 8
52.79575 9
52.83298 10
52.91236 7
52.97907 7
53.00318 6
53.02074 14
53.14181 10
53.21698 8
53.25465 5
53.37257 6
53.52232 6
53.59793 11
53.61473 10
53.68184 5
53.72171 9
53.75323 10
53.78331 10
53.82463 9
53.83724 8
53.9006 6
53.93583 6
53.98866 6
54.04397 7
54.10657 12
54.16967 9
54.21196 6
54.24862 9
54.31324 7
54.38292 7
54.39843 10
54.46047 7
54.55413 9
54.59222 7
54.65464 15
54.69468 6
54.90251 6
54.92073 6
55.02075 79
55.03984 29
55.14042 23
55.18543 6
55.26805 12
55.28831 10
55.31424 6
55.33632 13
55.37378 9
55.39509 5
55.65098 13
55.67339 18
55.70871 7
55.86713 7
55.8961 8
55.98915 6
56.15565 6
56.23507 9
56.3359 7
56.36699 6
56.39293 6
56.42397 6
56.48331 8
56.50712 9
56.52192 9
56.55221 7
56.6983 8
56.75486 9
56.83782 6
56.89226 5
57.03318 6
57.10711 8
57.21751 13
57.37799 8
57.43487 12
57.46914 11
57.4952 11
57.56907 5
57.59382 11
57.65602 16
57.69312 6
57.89989 5
57.94826 8
57.97004 8
58.0257 7
58.05239 6
58.09175 16
58.46717 5
58.77505 9
58.81004 17
58.83357 13
58.87156 5
58.9463 18
59.10917 5
59.17424 6
59.2414 8
59.45724 11
59.50077 6
59.58981 7
59.6655 6
59.76274 9
60.0132 8
60.06592 18
60.11638 7
60.25875 6
60.29977 7
60.41097 8
60.44661 13
60.51358 17
60.6123 5
60.73649 11
60.75061 5
60.799 5
60.8258 6
60.85738 6
61.08953 6
61.20163 7
61.26217 6
61.45736 10
61.56968 10
61.59659 8
61.63162 6
61.66038 5
61.77196 6
61.90274 7
61.94106 5
61.98764 5
62.24499 10
62.26414 14
62.30466 9
62.3244 18
62.34142 11
62.44929 7
62.48082 6
62.50426 9
62.56211 15
62.64406 5
62.68294 6
62.80515 6
62.9665 11
63.02459 18
63.10671 14
63.18023 10
63.456 8
63.48109 9
63.55871 13
63.58986 5
63.60896 7
63.73781 12
63.78726 6
63.86041 8
64.02538 6
64.08973 6
64.21505 11
64.23972 15
64.535 6
64.67328 7
64.69746 8
64.77007 7
64.78852 7
64.83463 10
64.8577 10
64.99616 6
65.06532 6
65.19506 6
65.25504 5
65.36189 8
65.4309 14
65.46637 14
65.57516 13
65.60386 8
65.76501 10
65.79292 8
65.87658 6
65.91843 8
66.01044 6
66.07665 11
66.16633 7
66.20292 16
66.24039 9
66.59454 9
66.65533 10
66.71686 5
66.99246 12
67.01676 19
67.22208 7
67.31166 8
67.39864 6
67.41524 6
67.44802 8
67.49037 5
67.50936 12
67.64664 12
67.70937 6
67.84452 5
67.91221 6
68.0377 6
68.20401 8
68.33537 8
68.3876 6
68.41115 17
68.43484 6
68.53439 12
68.58894 8
68.6981 22
68.72912 6
68.76221 8
68.80143 7
68.8265 7
68.86668 8
68.91264 17
69.06575 5
69.09818 13
69.17033 6
69.25234 9
69.30956 10
69.51016 12
69.60555 7
69.66769 6
69.70148 7
69.73303 11
69.83002 7
69.91619 6
69.96452 5
70.01203 7
70.06045 6
70.19943 7
70.21862 9
70.31572 6
70.35308 11
70.37229 7
70.58993 7
70.7091 12
70.73317 9
70.77895 12
70.91776 8
70.9797 10
71.00819 9
71.40442 7
71.42295 10
71.49294 8
71.54002 14
71.67574 11
71.72917 5
71.76823 7
71.88022 9
72.05451 9
72.26375 17
72.53704 7
72.77057 8
72.83949 11
72.8592 6
72.88839 16
73.09029 7
73.20089 7
73.22133 11
73.24824 10
73.27525 8
73.66806 5
73.68755 12
73.78118 8
73.8304 8
73.8988 12
73.95176 13
74.02483 338
74.07565 53
74.13474 32
74.18542 17
74.21846 7
74.25826 9
74.32742 12
74.40282 7
74.45673 11
74.56065 6
74.60915 7
74.71407 5
74.7392 16
74.78845 5
74.83295 8
74.93317 6
74.95936 6
74.99821 10
75.03377 8
75.11658 17
75.29951 13
75.35558 8
75.51918 6
75.57062 9
75.60766 10
75.66262 6
75.78739 11
75.84225 12
75.88217 6
75.97799 11
76.01696 5
76.26715 10
76.3668 8
76.417 10
76.47572 8
76.54712 6
76.63 12
76.69775 5
76.73229 8
76.80206 6
76.90495 7
77.03689 75
77.07246 19
77.11414 8
77.1361 7
77.4945 8
77.56805 8
77.72872 5
77.81293 6
77.84578 8
77.91656 10
77.96793 5
78.02198 5
78.04346 96
78.10365 14
78.23627 5
78.28611 18
78.38244 7
78.41357 9
78.42973 11
78.5702 6
78.64622 6
78.68702 9
78.76834 5
79.03809 13
79.0584 6
79.15944 5
79.22147 13
79.26733 10
79.32393 15
79.57365 7
79.6094 10
79.82426 10
79.87117 5
79.924 10
80.01533 9
80.07265 8
80.13673 8
80.16188 13
80.25639 11
80.32139 13
80.35226 6
80.38815 18
80.50637 9
80.62981 5
80.73889 6
80.77901 11
80.87695 11
80.91306 6
80.95429 6
80.97999 8
81.07015 6
81.29111 9
81.59812 10
81.64885 6
81.81234 7
81.92047 7
81.95193 7
82.02351 7
82.0453 11
82.14499 6
82.31535 5
82.43442 8
82.55981 15
82.60138 5
82.76473 5
82.83326 13
82.93814 13
82.96358 13
82.99234 7
83.01844 6
83.20637 8
83.33974 7
83.48884 6
83.58341 7
83.63457 5
83.67212 9
83.777 5
83.87645 6
83.93939 6
83.96944 9
84.04296 10
84.09188 5
84.22357 7
84.29141 6
84.4072 14
84.4389 7
84.46522 13
84.60715 13
84.74857 6
84.84328 6
84.91319 17
84.98901 5
85.0321 8
85.05587 9
85.32568 6
85.36143 6
85.69151 8
85.71753 6
85.79162 9
85.88684 9
85.92611 10
85.96464 5
86.02805 5
86.07858 10
86.19036 6
86.25401 7
86.30739 6
86.34655 14
86.42437 5
86.50957 5
86.56289 10
86.60966 6
86.64709 11
86.68584 7
86.75482 8
86.84591 7
86.95235 8
87.32624 18
87.38419 7
87.45434 5
87.48138 8
87.87353 16
87.94334 7
87.96477 13
87.99689 6
88.02995 18
88.08169 7
88.18073 5
88.20644 10
88.25467 8
88.31063 8
88.44894 5
88.50021 6
88.54602 5
88.63062 10
88.90209 10
88.92821 10
89.0362 34
89.08238 28
89.13992 7
89.20542 8
89.36723 6
89.42142 5
89.52398 7
89.56623 7
89.60136 6
89.85266 12
90.05077 95
90.16537 7
90.19483 11
90.29018 5
90.38812 8
90.41702 9
90.51283 11
90.54074 6
90.60558 8
90.71571 15
90.79128 7
90.81894 8
90.8735 5
90.9106 6
90.95962 26
91.05382 436
91.16321 17
91.19202 16
91.20694 7
91.22882 7
91.25735 14
91.31908 12
91.38087 17
91.4081 12
91.45336 10
91.51904 11
91.60674 8
91.689 6
91.83714 9
91.85911 10
91.88623 7
91.91209 7
92.22073 11
92.23832 5
92.28234 5
92.34266 14
92.39247 5
92.42975 6
92.4621 11
92.57158 6
92.68981 9
92.75619 6
92.8244 14
92.92111 8
92.98251 5
92.99633 5
93.09299 7
93.18147 5
93.24669 6
93.47481 5
93.508 9
93.52463 7
93.55243 11
93.63628 7
93.88068 6
93.91837 14
93.95951 6
94.06654 140
94.15044 9
94.17789 6
94.20268 12
94.29224 8
94.31867 6
94.38737 6
94.46867 8
94.72485 9
94.80126 11
94.88678 10
95.12128 6
95.22205 6
95.26659 6
95.37289 5
95.47495 8
95.54618 6
95.57995 6
95.74058 11
96.00043 10
96.02288 8
96.20911 5
96.31218 8
96.36588 13
96.38808 10
96.42179 5
96.5006 5
96.56057 12
96.65018 8
96.77206 6
96.92777 5
97.02354 11
97.06976 7
97.15445 8
97.26758 12
97.29678 11
97.35217 6
97.38486 8
97.44262 5
97.46523 10
97.51082 10
97.61272 7
97.74817 5
97.77557 10
97.86895 9
97.92385 15
97.9805 10
98.1036 10
98.16756 6
98.34945 6
98.37782 5
98.40171 11
98.6863 8
98.85569 11
99.03925 6
99.1002 8
99.1978 10
99.27879 6
99.32451 6
99.34489 6
99.42891 8
99.46604 5
99.49613 24
99.56373 8
99.73473 8
99.75475 6
99.78494 6
99.88155 7
100.3172 10
100.37711 9
100.46268 11
100.55159 7
100.72167 8
100.95773 9
100.9752 6
101.27953 12
101.36601 11
101.64304 6
101.7239 6
101.75985 9
101.79343 6
101.92141 8
101.94714 15
102.01877 5
102.04314 6
102.30537 8
102.34109 7
102.61558 7
102.6737 5
102.77522 11
102.83039 8
102.88284 6
102.93497 7
103.05309 152
103.11741 7
103.18162 11
103.26069 7
103.38297 8
103.41791 6
103.7969 11
103.93713 11
104.15806 5
104.20638 8
104.34329 6
104.4751 11
104.56955 14
104.66243 10
105.06772 187
105.15234 14
105.17431 13
105.23165 6
105.27424 8
105.60267 11
105.7604 8
105.78076 12
105.84367 7
105.87272 9
105.89082 12
105.93208 6
106.01759 5
106.16947 10
106.2625 8
106.40031 11
106.59064 6
106.61619 14
106.77685 7
107.02431 9
107.07954 44
107.17329 17
107.42453 6
107.66698 7
107.71392 6
107.87491 9
107.99246 6
108.09496 6
108.59583 5
108.66148 10
108.71694 8
108.79886 6
108.84967 5
108.99313 13
109.05077 9
109.18159 9
109.25987 12
109.4511 7
109.53329 8
109.69115 9
109.72395 7
109.74623 6
109.77966 13
109.80647 7
109.85394 5
109.91399 5
109.99114 7
110.25563 7
110.2795 6
110.29774 7
110.46191 9
110.73672 12
110.7795 5
110.84585 7
110.93634 7
111.01479 9
111.1413 14
111.19588 5
111.25634 11
111.43163 16
111.48001 8
111.55055 5
111.59512 6
111.65735 9
111.81165 6
111.84216 5
111.94621 7
112.08668 5
112.14173 8
112.19483 6
112.23293 9
112.3739 8
112.41295 7
112.46369 9
112.70509 10
112.86325 8
112.90585 15
113.00197 6
113.12405 5
113.15147 10
113.18602 10
113.3325 9
113.52145 6
113.54577 8
113.5886 9
113.65151 10
113.71032 7
113.74109 6
113.81683 12
113.85148 9
113.91105 12
114.0159 11
114.33258 8
114.4387 8
114.64108 7
114.71787 6
114.85564 35
114.9053 10
114.9756 6
115.05366 593
115.14214 33
115.20725 18
115.26596 6
115.30311 6
115.3261 8
115.40839 8
115.43379 14
115.4716 27
115.55447 11
115.67889 10
115.76164 15
115.80322 10
115.84637 8
115.90406 8
115.96355 6
116.01664 7
116.05301 202
116.10926 30
116.15316 15
116.18564 8
116.22277 10
116.35906 7
116.45198 8
116.48228 8
116.63239 8
116.66325 7
116.71735 12
116.79781 28
116.83495 14
116.89729 7
116.94022 6
116.9979 9
117.05934 1516
117.1583 46
117.18678 29
117.21854 43
117.24172 18
117.26942 12
117.32385 24
117.37601 30
117.42578 34
117.48736 9
117.54889 9
117.59776 10
117.66009 9
117.7346 14
117.81528 12
117.85881 8
117.9137 11
117.98354 12
118.06199 179
118.11396 26
118.137 12
118.24722 5
118.29141 9
118.35683 8
118.531 7
118.56968 9
118.59377 24
118.67176 7
118.73724 5
118.86046 7
118.95342 9
119.12303 8
119.144 8
119.27573 5
119.33727 12
119.37482 19
119.50003 7
119.68941 14
119.83214 5
119.98896 5
120.02033 5
120.08488 9
120.18861 6
120.2356 8
120.316 8
120.36485 9
120.38848 19
120.40957 17
120.45374 19
120.48518 8
120.5987 10
120.62984 5
120.81866 6
120.93851 9
120.97612 11
121.01385 8
121.0864 10
121.18412 7
121.22787 7
121.37998 13
121.46173 7
121.50023 8
121.54242 12
121.57542 7
121.68119 7
121.80309 6
121.82823 5
121.92731 11
122.00594 12
122.03137 17
122.16351 7
122.32255 8
122.5709 8
122.59443 9
122.66258 7
122.78896 9
122.91679 6
123.06906 6
123.11501 5
123.15311 8
123.25494 15
123.42678 13
123.4808 12
123.59222 6
123.70016 10
123.79098 7
123.82157 7
123.85354 8
123.93592 7
123.9602 7
124.01608 7
124.04475 5
124.09122 9
124.15327 8
124.35755 10
124.40828 7
124.5813 9
124.62604 5
124.65831 16
124.69595 7
124.76037 6
124.81277 12
124.86485 11
124.89432 7
125.07343 53
125.12475 12
125.15417 5
125.25993 9
125.43951 11
125.5567 8
125.59674 8
125.79262 8
126.05617 8
126.2703 9
126.37816 6
126.61633 5
126.67272 7
126.72581 19
126.83557 6
126.87428 7
127.13897 5
127.24879 8
127.31989 9
127.48804 5
127.51386 6
127.56872 7
127.60531 9
127.63033 5
127.73713 6
127.81239 13
127.98524 11
128.0585 116
128.19536 13
128.33781 10
128.38213 16
128.45331 9
128.49225 26
128.52573 30
128.5834 8
128.6525 9
128.73944 8
128.79805 6
128.86279 8
128.92641 11
129.00082 13
129.06537 257
129.09224 92
129.12289 40
129.17519 9
129.20532 14
129.26593 6
129.34814 12
129.38361 5
129.46217 15
129.53355 5
129.55959 5
129.63132 6
129.65971 12
129.69055 6
129.78143 13
129.82236 9
129.92323 6
129.97722 11
130.06209 377
130.14053 14
130.19809 12
130.21904 15
130.26582 10
130.48628 11
130.64748 21
130.67369 16
130.74945 9
130.81349 13
130.89775 48
130.96851 29
131.07382 810
131.13931 72
131.16794 46
131.20134 11
131.24716 9
131.29259 6
131.35556 11
131.37996 19
131.41695 14
131.58501 6
131.64034 16
131.70047 9
131.72105 9
131.7645 51
131.80811 13
131.92854 29
131.95844 7
131.99701 12
132.08098 14678
132.18089 711
132.21693 280
132.2659 205
132.31831 128
132.37294 97
132.44547 86
132.50198 84
132.55652 43
132.6116 88
132.65736 99
132.69893 69
132.75711 108
132.81674 31
132.86584 50
132.89178 45
132.96709 55
133.02589 34
133.08453 1675
133.19174 64
133.23436 60
133.2596 62
133.29556 43
133.32468 18
133.3553 17
133.39964 34
133.44333 37
133.5126 33
133.55499 16
133.59499 39
133.62321 15
133.69177 18
133.74454 49
133.78403 34
133.85475 20
133.88539 25
133.95064 13
133.99809 5
134.0726 26
134.10422 24
134.15196 21
134.1837 12
134.21701 10
134.2502 11
134.32263 18
134.33691 17
134.41989 11
134.46935 25
134.55115 21
134.62657 15
134.68619 44
134.73183 10
134.76186 10
134.82596 10
134.86667 15
134.94122 11
134.9758 17
135.07446 8
135.12773 15
135.17227 6
135.25365 8
135.27759 6
135.31018 18
135.32858 20
135.40755 15
135.42088 15
135.48067 18
135.60486 19
135.64749 16
135.68123 9
135.70441 12
135.75125 9
135.84784 19
135.90265 6
136.02707 5
136.0625 9
136.10146 6
136.13512 7
136.17519 5
136.20851 16
136.37584 10
136.4494 8
136.58757 5
136.69374 12
136.72574 9
136.81886 5
136.96176 10
137.02994 11
137.07249 8
137.133 11
137.1908 5
137.24011 14
137.33386 6
137.36839 9
137.46165 12
137.48631 13
137.51367 22
137.54451 7
137.67729 8
137.75056 10
137.83128 8
137.9057 7
137.96461 6
138.01291 19
138.05933 8
138.16438 5
138.30779 6
138.44733 9
138.51819 5
138.55856 9
138.60854 10
138.66437 6
138.77394 7
138.82166 11
138.84865 6
138.88091 6
139.02722 9
139.12553 6
139.16542 8
139.24718 11
139.31705 11
139.3817 12
139.58632 7
139.62607 5
139.71049 16
139.74878 7
139.7953 10
139.87314 6
139.99173 10
140.02621 6
140.12109 11
140.14635 7
140.19472 17
140.24934 10
140.29555 8
140.32402 9
140.43262 15
140.49368 10
140.62955 9
140.69069 6
140.74304 8
140.77176 12
140.9218 6
140.95581 7
141.01387 13
141.06795 163
141.11761 40
141.17468 6
141.20755 10
141.27887 6
141.33226 16
141.46629 15
141.59584 12
141.65067 7
141.73044 7
141.90955 11
142.06236 240
142.12785 44
142.16914 29
142.20312 6
142.29196 19
142.32646 10
142.39787 5
142.42821 18
142.45166 12
142.4846 12
142.54488 8
142.57224 8
142.59982 6
142.62131 5
142.69559 12
142.86618 37
142.99661 8
